,,,,,,
Interseccion,Horas de control,Atipico ,N,S,O,E
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,06:00 - 06:15,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,06:15 - 06:30,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,06:30 - 06:45,1,208,494,75,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,06:45 - 07:00,1,209,536,74,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,07:00 - 07:15,1,223,517,61,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,07:15 - 07:30,1,304,560,109,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,07:30 - 07:45,1,325,666,145,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,07:45 - 08:00,1,356,680,100,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,08:00 - 08:15,1,343,716,100,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,08:15 - 08:30,1,358,736,123,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,08:30 - 08:45,1,384,823,123,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,08:45 - 09:00,1,389,845,127,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,09:00 - 09:15,1,409,664,108,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,09:15 - 09:30,1,396,679,111,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,09:30 - 09:45,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,09:45 - 10:00,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,10:00 - 10:15,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,10:15 - 10:30,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,10:30 - 10:45,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,10:45 - 11:00,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,11:00 - 11:15,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,11:15 - 11:30,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,11:30 - 11:45,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,11:45 - 12:00,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,12:00 - 12:15,1,480,677,140,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,12:15 - 12:30,1,487,689,146,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,12:30 - 12:45,1,590,693,119,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,12:45 - 13:00,1,596,642,143,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,13:00 - 13:15,1,512,631,131,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,13:15 - 13:30,1,574,635,127,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,13:30 - 13:45,1,551,644,135,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,13:45 - 14:00,1,557,639,128,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,14:00 - 14:15,1,548,651,133,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,14:15 - 14:30,1,527,668,123,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,14:30 - 14:45,1,545,549,116,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,14:45 - 15:00,1,579,674,110,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,15:00 - 15:15,1,0,0,0,0
61_SS34-01_Av. Los Próceres - Ingreso A La Cruceta,15:15 - 15:30,1,0,0,0,0
