Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:16:00,S12 02.058 W77 00.019,0,0:00:00,0
2,29/09/2025 22:17:00,S12 02.016 W76 59.921,194,0:01:00,12
3,29/09/2025 22:17:17,S12 02.003 W76 59.898,48,0:00:17,10
4,29/09/2025 22:17:20,S12 01.997 W76 59.896,11,0:00:03,13
5,29/09/2025 22:17:36,S12 01.990 W76 59.900,15,0:00:16,3
6,29/09/2025 22:17:40,S12 01.987 W76 59.901,6,0:00:04,5
7,29/09/2025 22:17:47,S12 01.980 W76 59.905,15,0:00:07,8
8,29/09/2025 22:18:47,S12 01.979 W76 59.904,3,0:01:00,0
9,29/09/2025 22:19:29,S12 01.965 W76 59.916,34,0:00:42,3
10,29/09/2025 22:20:29,S12 01.930 W76 59.933,72,0:01:00,4
11,29/09/2025 22:20:38,S12 01.930 W76 59.934,3,0:00:09,1
12,29/09/2025 22:21:38,S12 01.892 W76 59.946,74,0:01:00,4
13,29/09/2025 22:21:46,S12 01.889 W76 59.948,6,0:00:08,3
14,29/09/2025 22:22:46,S12 01.858 W76 59.963,64,0:01:00,4
15,29/09/2025 22:23:41,S12 01.849 W76 59.965,16,0:00:55,1
16,29/09/2025 22:23:49,S12 01.841 W76 59.969,18,0:00:08,8
17,29/09/2025 22:24:32,S12 01.797 W76 59.985,85,0:00:43,7
18,29/09/2025 22:25:32,S12 01.692 W76 59.986,194,0:01:00,12
19,29/09/2025 22:25:36,S12 01.691 W76 59.987,3,0:00:04,3
20,29/09/2025 22:26:08,S12 01.640 W76 59.996,96,0:00:32,11
21,29/09/2025 22:26:12,S12 01.632 W76 59.998,14,0:00:04,13
22,29/09/2025 22:27:12,S12 01.577 W77 00.011,104,0:01:00,6
23,29/09/2025 22:27:16,S12 01.565 W77 00.015,23,0:00:04,21
24,29/09/2025 22:28:16,S12 01.534 W77 00.022,59,0:01:00,4
25,29/09/2025 22:28:39,S12 01.520 W77 00.021,26,0:00:23,4
26,29/09/2025 22:29:39,S12 01.519 W77 00.014,14,0:01:00,1
27,29/09/2025 22:30:05,S12 01.516 W77 00.000,24,0:00:26,3
28,29/09/2025 22:31:05,S12 01.502 W76 59.928,133,0:01:00,8
29,29/09/2025 22:32:05,S12 01.502 W76 59.928,0,0:01:00,0
30,29/09/2025 22:32:26,S12 01.496 W76 59.913,30,0:00:21,5
31,29/09/2025 22:33:26,S12 01.475 W76 59.811,189,0:01:00,11
