Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.049617,-77.07415,2025,9,29,22,17,28,0,1
2,-12.049433,-77.0714,2025,9,29,22,18,21,20,0
3,-12.049483,-77.071367,2025,9,29,22,18,23,14,0
4,-12.052817,-77.071017,2025,9,29,22,19,23,22,0
5,-12.053017,-77.071,2025,9,29,22,20,2,2,1
6,-12.054717,-77.070783,2025,9,29,22,20,22,34,0
7,-12.05475,-77.070683,2025,9,29,22,20,25,15,0
8,-12.054633,-77.0695,2025,9,29,22,21,24,8,0
9,-12.054467,-77.067883,2025,9,29,22,22,24,11,0
10,-12.054333,-77.066683,2025,9,29,22,23,4,12,0
11,-12.054217,-77.06665,2025,9,29,22,23,7,18,0
12,-12.052783,-77.066783,2025,9,29,22,24,7,10,0
13,-12.0525,-77.066817,2025,9,29,22,24,19,9,0
14,-12.052483,-77.06675,2025,9,29,22,24,21,14,0
15,-12.053117,-77.064583,2025,9,29,22,25,21,15,0
16,-12.053367,-77.06385,2025,9,29,22,26,21,5,1
17,-12.053717,-77.062817,2025,9,29,22,26,37,27,0
18,-12.0537,-77.062783,2025,9,29,22,26,38,12,0
19,-12.053633,-77.062767,2025,9,29,22,26,40,12,0
20,-12.052233,-77.062167,2025,9,29,22,27,6,23,0
21,-12.052233,-77.062117,2025,9,29,22,27,8,12,0
22,-12.05265,-77.061017,2025,9,29,22,27,33,18,0
23,-12.052583,-77.06095,2025,9,29,22,27,35,20,0
24,-12.052417,-77.060833,2025,9,29,22,27,39,20,0
25,-12.052417,-77.060767,2025,9,29,22,27,41,15,0
26,-12.05335,-77.058117,2025,9,29,22,28,41,18,0
27,-12.0538,-77.056517,2025,9,29,22,29,13,20,0
28,-12.053867,-77.0565,2025,9,29,22,29,15,12,0
29,-12.05395,-77.056567,2025,9,29,22,29,18,14,0
30,-12.054983,-77.057317,2025,9,29,22,30,18,8,0
31,-12.055267,-77.057517,2025,9,29,22,31,18,2,1
32,-12.055367,-77.057583,2025,9,29,22,31,59,1,1
33,-12.055533,-77.057633,2025,9,29,22,32,6,10,0
34,-12.0556,-77.0576,2025,9,29,22,32,8,13,0
35,-12.055617,-77.057533,2025,9,29,22,32,10,15,0
36,-12.055567,-77.05745,2025,9,29,22,32,12,16,0
37,-12.054817,-77.056917,2025,9,29,22,33,3,7,0
38,-12.0547,-77.056867,2025,9,29,22,33,8,11,0
39,-12.054617,-77.05675,2025,9,29,22,33,12,13,0
40,-12.054383,-77.054217,2025,9,29,22,34,12,17,0
41,-12.054233,-77.05215,2025,9,29,22,35,12,14,0
42,-12.054083,-77.050383,2025,9,29,22,36,12,12,0
43,-12.054033,-77.04995,2025,9,29,22,37,12,3,1
44,-12.054033,-77.049333,2025,9,29,22,38,5,4,1
45,-12.054067,-77.049317,2025,9,29,22,38,8,5,1
46,-12.055,-77.049183,2025,9,29,22,39,5,7,0
47,-12.055967,-77.0493,2025,9,29,22,39,42,11,0
48,-12.056767,-77.0492,2025,9,29,22,39,59,19,0
49,-12.056817,-77.049133,2025,9,29,22,40,2,12,0
50,-12.056717,-77.047617,2025,9,29,22,41,2,10,0
51,-12.056683,-77.047583,2025,9,29,22,41,6,4,1
52,-12.0567,-77.047317,2025,9,29,22,41,12,17,0
53,-12.05675,-77.047267,2025,9,29,22,41,14,14,0
54,-12.0583,-77.04715,2025,9,29,22,42,0,14,0
55,-12.058683,-77.047283,2025,9,29,22,42,10,16,0
56,-12.060717,-77.049017,2025,9,29,22,43,10,18,0
57,-12.0626,-77.050567,2025,9,29,22,44,10,16,0
58,-12.064133,-77.05185,2025,9,29,22,45,10,13,0
59,-12.065683,-77.053167,2025,9,29,22,46,10,13,0
60,-12.06575,-77.053167,2025,9,29,22,46,23,2,1
61,-12.0659,-77.053033,2025,9,29,22,46,28,16,0
62,-12.066383,-77.0524,2025,9,29,22,47,28,5,1
63,-12.0664,-77.052367,2025,9,29,22,47,34,2,1
64,-12.0672,-77.051383,2025,9,29,22,48,1,19,0
65,-12.067267,-77.051283,2025,9,29,22,48,4,15,0
66,-12.068167,-77.050217,2025,9,29,22,49,4,9,0
67,-12.068833,-77.049383,2025,9,29,22,50,4,7,0
68,-12.0689,-77.0493,2025,9,29,22,51,4,1,1
69,-12.069,-77.0492,2025,9,29,22,51,46,1,1
70,-12.0698,-77.04815,2025,9,29,22,52,46,9,0
71,-12.069983,-77.04785,2025,9,29,22,52,56,14,0
72,-12.06995,-77.047767,2025,9,29,22,52,58,19,0
73,-12.06695,-77.045317,2025,9,29,22,53,58,26,0
74,-12.065367,-77.0442,2025,9,29,22,54,58,13,0
75,-12.06525,-77.044183,2025,9,29,22,55,4,8,0
76,-12.065183,-77.044117,2025,9,29,22,55,8,8,0
77,-12.064783,-77.041567,2025,9,29,22,56,8,17,0
78,-12.064583,-77.039683,2025,9,29,22,57,8,12,0
79,-12.064633,-77.039533,2025,9,29,22,57,17,7,0
80,-12.06485,-77.0391,2025,9,29,22,57,27,19,0
81,-12.064733,-77.038217,2025,9,29,22,58,9,8,0
82,-12.064683,-77.038,2025,9,29,22,58,16,13,0
83,-12.064533,-77.036633,2025,9,29,22,59,16,9,0
84,-12.064533,-77.036533,2025,9,29,22,59,37,2,1
85,-12.064433,-77.036333,2025,9,29,23,0,15,2,1
86,-12.0641,-77.03605,2025,9,29,23,0,27,14,0
87,-12.064,-77.034683,2025,9,29,23,1,27,9,0
88,-12.063967,-77.034583,2025,9,29,23,2,13,1,1
89,-12.063667,-77.032817,2025,9,29,23,3,13,12,0
90,-12.063683,-77.0323,2025,9,29,23,3,46,6,0
91,-12.063783,-77.032233,2025,9,29,23,3,49,16,0
92,-12.0649,-77.032033,2025,9,29,23,4,5,28,0
93,-12.064933,-77.03195,2025,9,29,23,4,7,19,0
94,-12.06485,-77.03135,2025,9,29,23,5,7,4,1
95,-12.064833,-77.031167,2025,9,29,23,5,49,2,1
96,-12.064617,-77.0293,2025,9,29,23,6,49,12,0
97,-12.0646,-77.0293,2025,9,29,23,7,49,0,1
98,-12.0646,-77.0293,2025,9,29,23,8,49,0,1
99,-12.064433,-77.027833,2025,9,29,23,9,49,10,0
100,-12.0644,-77.027683,2025,9,29,23,10,5,4,1
101,-12.064083,-77.025633,2025,9,29,23,11,5,13,0
102,-12.063883,-77.023883,2025,9,29,23,12,5,12,0
103,-12.063633,-77.022,2025,9,29,23,13,5,12,0
104,-12.063583,-77.021767,2025,9,29,23,14,5,1,1
105,-12.06325,-77.018867,2025,9,29,23,15,5,19,0
106,-12.063217,-77.018733,2025,9,29,23,16,5,1,1
107,-12.062833,-77.016183,2025,9,29,23,17,5,17,0
108,-12.062833,-77.015983,2025,9,29,23,18,5,1,1
109,-12.062767,-77.015733,2025,9,29,23,18,52,2,1
110,-12.062683,-77.015367,2025,9,29,23,19,4,12,0
111,-12.06265,-77.01535,2025,9,29,23,19,7,5,1
112,-12.061533,-77.0155,2025,9,29,23,19,39,14,0
113,-12.061433,-77.0156,2025,9,29,23,19,59,3,1
114,-12.060133,-77.016033,2025,9,29,23,20,38,14,0
115,-12.060083,-77.015983,2025,9,29,23,20,40,12,0
116,-12.059717,-77.014867,2025,9,29,23,21,40,8,0
117,-12.059333,-77.0138,2025,9,29,23,22,30,9,0
118,-12.059367,-77.01375,2025,9,29,23,22,32,10,0
119,-12.060933,-77.01315,2025,9,29,23,23,19,14,0
120,-12.061,-77.013167,2025,9,29,23,23,21,12,0
121,-12.06105,-77.013233,2025,9,29,23,23,25,9,0
122,-12.061017,-77.01355,2025,9,29,23,24,25,2,1
123,-12.06115,-77.014017,2025,9,29,23,25,25,3,1
124,-12.06115,-77.014117,2025,9,29,23,26,25,1,1
125,-12.061283,-77.015167,2025,9,29,23,27,25,7,0
126,-12.061283,-77.01515,2025,9,29,23,28,25,0,1
127,-12.061333,-77.01535,2025,9,29,23,28,31,13,0
128,-12.061367,-77.01575,2025,9,29,23,29,31,3,1
129,-12.0616,-77.017933,2025,9,29,23,30,25,16,0
130,-12.061533,-77.017983,2025,9,29,23,30,27,17,0
131,-12.060383,-77.01815,2025,9,29,23,30,44,27,0
132,-12.060367,-77.018233,2025,9,29,23,30,46,17,0
133,-12.06065,-77.0206,2025,9,29,23,31,46,16,0
134,-12.060867,-77.022283,2025,9,29,23,32,46,11,0
135,-12.061217,-77.024867,2025,9,29,23,33,46,17,0
136,-12.0615,-77.027133,2025,9,29,23,34,46,15,0
137,-12.061517,-77.027167,2025,9,29,23,34,48,7,0
138,-12.06155,-77.02725,2025,9,29,23,34,53,7,0
139,-12.0616,-77.027917,2025,9,29,23,35,53,4,1
140,-12.061617,-77.028083,2025,9,29,23,36,13,3,1
141,-12.0618,-77.029367,2025,9,29,23,37,13,8,0
142,-12.061783,-77.029367,2025,9,29,23,38,13,0,1
143,-12.06185,-77.029883,2025,9,29,23,39,13,3,1
144,-12.062117,-77.031767,2025,9,29,23,39,53,19,0
145,-12.0622,-77.031783,2025,9,29,23,39,55,15,0
146,-12.063083,-77.031633,2025,9,29,23,40,33,9,0
147,-12.063133,-77.031617,2025,9,29,23,40,35,12,0
148,-12.063383,-77.0316,2025,9,29,23,40,42,15,0
149,-12.063433,-77.03165,2025,9,29,23,40,44,14,0
150,-12.063483,-77.032233,2025,9,29,23,41,44,4,1
151,-12.063517,-77.032733,2025,9,29,23,42,44,3,1
152,-12.063633,-77.033233,2025,9,29,23,43,44,3,1
153,-12.063633,-77.03325,2025,9,29,23,44,44,0,1
154,-12.063633,-77.0334,2025,9,29,23,45,18,2,1
155,-12.063733,-77.033817,2025,9,29,23,46,18,3,1
156,-12.06375,-77.034167,2025,9,29,23,47,18,2,1
157,-12.063767,-77.034283,2025,9,29,23,48,1,1,1
158,-12.063817,-77.034667,2025,9,29,23,49,1,3,1
159,-12.063867,-77.035,2025,9,29,23,49,36,4,1
160,-12.063917,-77.0357,2025,9,29,23,50,36,5,1
161,-12.063933,-77.035833,2025,9,29,23,51,36,1,1
162,-12.06395,-77.035967,2025,9,29,23,51,47,5,1
163,-12.06415,-77.037217,2025,9,29,23,52,47,8,0
164,-12.064167,-77.037417,2025,9,29,23,53,29,2,1
165,-12.064183,-77.037733,2025,9,29,23,54,29,2,1
166,-12.064233,-77.038167,2025,9,29,23,55,29,3,1
167,-12.064267,-77.03825,2025,9,29,23,55,33,9,0
168,-12.06425,-77.03835,2025,9,29,23,55,51,2,1
169,-12.0643,-77.038733,2025,9,29,23,56,51,2,1
170,-12.064333,-77.0389,2025,9,29,23,57,41,1,1
171,-12.0647,-77.041733,2025,9,29,23,58,41,19,0
172,-12.064767,-77.042267,2025,9,29,23,59,41,4,1
173,-12.064817,-77.042767,2025,9,30,0,0,41,3,1
174,-12.064933,-77.043417,2025,9,30,0,1,41,4,1
175,-12.064967,-77.04365,2025,9,30,0,2,41,2,1
176,-12.065067,-77.044233,2025,9,30,0,3,41,4,1
177,-12.0651,-77.044383,2025,9,30,0,4,10,2,1
178,-12.065183,-77.045083,2025,9,30,0,5,10,5,1
179,-12.065183,-77.045083,2025,9,30,0,6,11,0,1
180,-12.065367,-77.0459,2025,9,30,0,6,45,10,0
181,-12.0661,-77.046567,2025,9,30,0,7,22,11,0
182,-12.0661,-77.046633,2025,9,30,0,7,25,8,0
183,-12.065167,-77.047767,2025,9,30,0,8,25,10,0
184,-12.06435,-77.048717,2025,9,30,0,9,25,8,0
185,-12.063517,-77.049633,2025,9,30,0,10,10,11,0
186,-12.0634,-77.049617,2025,9,30,0,10,13,14,0
187,-12.062017,-77.048367,2025,9,30,0,10,50,20,0
188,-12.061883,-77.048017,2025,9,30,0,10,59,16,0
189,-12.061717,-77.048,2025,9,30,0,11,2,24,0
190,-12.061533,-77.047983,2025,9,30,0,11,6,19,0
191,-12.059833,-77.046567,2025,9,30,0,12,6,15,0
192,-12.05875,-77.04575,2025,9,30,0,12,39,16,0
193,-12.056583,-77.045983,2025,9,30,0,13,25,19,0
194,-12.056533,-77.0459,2025,9,30,0,13,27,19,0
195,-12.05645,-77.04515,2025,9,30,0,14,7,7,0
196,-12.056383,-77.045117,2025,9,30,0,14,9,14,0
197,-12.054817,-77.045083,2025,9,30,0,15,4,11,0
198,-12.054733,-77.04515,2025,9,30,0,15,7,13,0
199,-12.054733,-77.04525,2025,9,30,0,15,10,14,0
200,-12.054933,-77.04785,2025,9,30,0,16,10,17,0
201,-12.05515,-77.050267,2025,9,30,0,17,10,16,0
202,-12.055283,-77.052167,2025,9,30,0,18,10,12,0
203,-12.055617,-77.056467,2025,9,30,0,19,10,28,0
204,-12.0555,-77.05715,2025,9,30,0,20,10,5,1
205,-12.0555,-77.05715,2025,9,30,0,21,10,0,1
206,-12.0548,-77.059683,2025,9,30,0,22,10,17,0
207,-12.05415,-77.0614,2025,9,30,0,23,10,12,0
208,-12.05415,-77.0614,2025,9,30,0,24,10,0,1
209,-12.053483,-77.063367,2025,9,30,0,25,10,14,0
210,-12.052667,-77.06575,2025,9,30,0,26,10,16,0
211,-12.052433,-77.066617,2025,9,30,0,27,10,6,0
212,-12.052483,-77.066817,2025,9,30,0,27,22,7,0
213,-12.0526,-77.066883,2025,9,30,0,27,25,19,0
214,-12.0543,-77.066783,2025,9,30,0,27,50,27,0
215,-12.0545,-77.068817,2025,9,30,0,28,50,13,0
216,-12.054667,-77.070633,2025,9,30,0,29,50,12,0
217,-12.054667,-77.070633,2025,9,30,0,30,50,0,1
218,-12.054617,-77.070767,2025,9,30,0,30,55,12,0
219,-12.0545,-77.070783,2025,9,30,0,30,58,16,0
220,-12.05305,-77.070917,2025,9,30,0,31,59,10,0
221,-12.052833,-77.070933,2025,9,30,0,32,6,13,0
222,-12.05025,-77.0712,2025,9,30,0,33,6,17,0
223,-12.049667,-77.071267,2025,9,30,0,34,6,4,1
224,-12.049467,-77.0713,2025,9,30,0,34,19,6,0
225,-12.049233,-77.071367,2025,9,30,0,34,26,14,0
226,-12.0492,-77.071417,2025,9,30,0,34,30,7,0
227,-12.049317,-77.072717,2025,9,30,0,35,30,9,0
228,-12.0496,-77.0756,2025,9,30,0,36,30,19,0
229,-12.04975,-77.07765,2025,9,30,0,37,30,13,0
230,-12.04985,-77.077767,2025,9,30,0,38,21,1,1
231,-12.049783,-77.077633,2025,9,30,0,39,21,1,1
232,-12.049783,-77.077633,2025,9,30,0,40,21,0,1
233,-12.049983,-77.07665,2025,9,30,0,41,21,7,0
234,-12.0495,-77.072917,2025,9,30,0,42,22,24,0
235,-12.049417,-77.0714,2025,9,30,0,43,7,13,0
236,-12.049467,-77.071367,2025,9,30,0,43,9,10,0
237,-12.052483,-77.07105,2025,9,30,0,44,9,20,0
238,-12.054717,-77.07085,2025,9,30,0,44,48,23,0
239,-12.054733,-77.070933,2025,9,30,0,44,50,16,0
240,-12.05485,-77.0718,2025,9,30,0,45,7,20,0
241,-12.0549,-77.071817,2025,9,30,0,45,9,12,0
242,-12.057183,-77.07165,2025,9,30,0,46,9,15,0
243,-12.057433,-77.07165,2025,9,30,0,46,21,8,0
244,-12.057467,-77.071583,2025,9,30,0,46,24,10,0
245,-12.057533,-77.071183,2025,9,30,0,46,43,8,0
246,-12.0576,-77.071183,2025,9,30,0,46,46,9,0
247,-12.0582,-77.0712,2025,9,30,0,47,7,12,0
248,-12.058233,-77.07125,2025,9,30,0,47,9,13,0
249,-12.058633,-77.072883,2025,9,30,0,47,54,15,0
250,-12.058817,-77.073017,2025,9,30,0,48,3,10,0
251,-12.0589,-77.072983,2025,9,30,0,48,6,10,0
252,-12.058917,-77.07295,2025,9,30,0,48,8,10,0
253,-12.058933,-77.07285,2025,9,30,0,48,11,12,0
254,-12.0586,-77.072033,2025,9,30,0,48,33,16,0
255,-12.058483,-77.071867,2025,9,30,0,48,38,15,0
256,-12.058333,-77.070883,2025,9,30,0,48,59,18,0
257,-12.058633,-77.068617,2025,9,30,0,49,59,15,0
258,-12.058783,-77.067883,2025,9,30,0,50,16,17,0
259,-12.058833,-77.067867,2025,9,30,0,50,18,11,0
260,-12.0592,-77.068,2025,9,30,0,50,47,6,0
261,-12.0592,-77.068,2025,9,30,0,53,28,0,1
262,-12.0592,-77.068,2025,9,30,0,56,38,0,1
263,-12.0592,-77.068,2025,9,30,0,59,48,0,1
